id,title,author_hash,fandoms,fandom_tag_ids,general_tag_ids,language,words,chapters,comments,kudos,bookmarks,hits,date,rating,category,warnings,status
29526504,Smarts and Mischief,6304c9152a973bfea117b3a55fc03ec30db348251fe675e3997ffb70e7eda8df,[],133+28+1+88+101,5+99+1296+67+725+134+103+60+2023+30+228+627+534,en,10274,5/?,15,115,25,3808,2021-03-01,E,H,V,W
25133773,Of Clones and Wizards,1dc29798fb01bf6622d4330567330ff33324cdc5a6793968aa863d79e83f2f42,"['Star Wars: Clone Wars (2003) - All Media Types', 'Star Wars: The Clone Wars (2008) - All Media Types', 'Star Wars - All Media Types']",0+656,11+9+409+33+122,en,127658,53/?,2521,3941,1653,140267,2021-03-01,T,G,C,W
29768934,Diamonds,800c3925c1c376d469792ce79a6bb3abac7ac8646b5507dbecbcdfab7ae4f371,[],282+2+1662,5+133+100+978,en,2480,1/1,4,287,25,5075,2021-03-01,E,H,C,C
25603849,A Brothers Sacrifice,0484edf543b38277f01778a8d87f48cf55bf01ef67daa170c56356450d15ec66,[],108+762+178+166+1274+501+298+9+26+4+22+105+83+8+7+19+664+574+281+283+21+17+6+36+139+14+23+332+206+2931+634+2065+275+552+31+146+305+325+214+1310+6496+1222+4907+521+1453+1077+1681+2062,571+251+606,en,43780,22/22,185,958,176,38507,2021-03-01,T,HGM,C,C
29539653,Playing with Fire,10b455908bab5fa7a06dddfb5cb752fe42a05ee8e3c694c958c70bf990e95ac4,[],13+1083+12268+2+1+60+20+17+21+71+0+5+10+34+25+24+53+14+74+15+293+849+185+532+1656+551,390+1060+122+221+57+180+155+9+1104+68+20+39+305,en,102580,72/72,289,1173,648,73856,2021-03-01,E,HUF,C,C
829935,The Monster,2553895a97baa2ad9c42476093d6edc63fb6384bd3ad11c92af8a9e0d5430c2d,[],22+4,,en,553,2/2,1,17,1,314,2021-03-01,G,G,N,C
29769972,a perfect world (with you),28e60f6c10d5afd86fb76596bdfb867e94a5b8606f84a1a47aa3669f425d3b4d,[],84+47+54,0+2128,en,924,1/1,0,35,2,422,2021-03-01,G,M,N,C
29770371,But Why?,f0f5ab773f1144ded210751955f2b33edf8adc639902bbbde0ead0e8791bac68,[],15310+1+923,3270+2254+5070+11+9+7520,en,986,1/1,0,9,2,64,2021-03-01,G,G,N,C
29770344,"Magic, Madness, Heaven, Sin",2100de3b2a5bf64d8c21bbd3120f9b1c26066a1d77e3a73d903ba02147b4d1ee,"['The Avengers (Marvel Movies)', 'Harry Potter - J. K. Rowling']",389+1277+0+157+42+1196+267+61,,en,2211,3/?,25,272,95,7308,2021-03-01,T,HUO,C,W
29770665,Moon Drunk Monster,664972227b6cdd542dbfd6b0da7f9c15ce5a93bc16af5ed786c4ac59ee0e8021,[],9+4+7+8+19+12+40+275+41+33+137+2781,2+6+132+704+333+139+3047+112+138,en,1259,1/1,8,326,37,3820,2021-03-01,M,M,V,C
29770443,The Wedding Date,f3fad9b6acd412be63410958a803cde85e417c3733cd5a2f395c5713b272c441,[],133+1+28+24+10+0+35,,en,1985,1/1,10,101,2,1699,2021-03-01,G,H,N,C
29772072,His Fathers son?,20f9462415ac25c512fcd10d6099993b2c6362e886ba578c9a67de2d5e16babc,[],5+0+1+130,0+35,en,549,1/1,0,6,0,47,2021-03-01,G,G,N,C
