id,title,author_hash,fandoms,fandom_tag_ids,general_tag_ids,language,words,chapters,comments,kudos,bookmarks,hits,date,rating,category,warnings,status
5324468,Serious,2b9b227ec1b0894317838c237fa6e900f01cca5b4a0219812c394316070704de,[],13+1+2+17+21,0+124,en,2765,1/1,0,44,3,1602,2015-12-01,G,H,C,C
5324666,Retro Dates,e2091a8043d13266da6c21cd5ed330b48645987b3aaf9f7a3e37352631494f2a,[],26+8+12+4,35,en,250,1/1,0,5,0,134,2015-12-01,G,G,N,C
5298797,Drabble Series,38b77603c8b6d35992c291a2036cc3716628f69ffbd12d9e72409e9d48f55071,[],7056+213+6+175+15+18+7+2,762+3624+320+1302+156+166+265+768+1230+134+1940+86+93+1269+660+811+650+686+66+328+4346+4707+1643,en,4004,10/?,6,57,1,2574,2015-12-01,N,HGMUO,C,W
1172284,A Supernatural Harry Potter Crossover Library,4b710b01a2e45549d55eacadd42161a91b6bbadb39f4e0093083407d36301c65,['Harry Potter - J. K. Rowling'],0,33,en,40201,8/?,5,33,10,3067,2015-12-01,T,GHMF,C,W
5325140,"Honey, Someone's At the Floo",0484edf543b38277f01778a8d87f48cf55bf01ef67daa170c56356450d15ec66,[],119+0+5+1,,en,973,1/1,1,146,29,6539,2015-12-01,E,M,C,C
5077210,Ghostie,b8b87e010523036c7bc9055dd73c2f3bea9d716dada25c2fe60c48f20f5fff13,[],334+28+24+149,18426+23,en,14994,13/13,0,5,0,216,2015-12-01,T,H,C,C
5326235,The Host Club and the Sorting Hat,0484edf543b38277f01778a8d87f48cf55bf01ef67daa170c56356450d15ec66,"['OHSHC - Fandom', 'Harry Potter - J. K. Rowling', 'crossover - Fandom']",288+343+370+162,,en,1304,1/1,3,111,13,1105,2015-12-01,N,0,N,C
5326613,The Limit of Sacrifice,87e44baed66a00a609eaddeb8a9d944a3299d61e2558a95e5886b3ef4e3ecd9d,[],82+17+270+6+11+21,,en,2174,1/1,2,27,3,468,2015-12-01,N,G,N,C
5327069,The Quidditch Cup,03b757e406082df8aac2f33d9943761e7618987510fd1645bc7394c61a3e0856,"['The Lord of the Rings - J. R. R. Tolkien', 'The Lord of the Rings (Movies)', 'Harry Potter - J. K. Rowling']",738+493+28+24+5+0+1+592,,en,938,1/1,5,100,5,832,2015-12-01,N,M,N,C
5034733,Ecdysis,92b517bf2a92140e2b42163b885e5dca18de15c2b5bbee24029ff1e7754e77d2,[],22+4+44+36+11+83+105,1412+75+156,en,7102,3/?,12,24,0,550,2015-12-01,T,M,VD,W
5123660,Where Dwell the Brave at Heart,f3958ee0a0728f1e9c7d05653b260425538bfc853c1b66342ad7ae7efdf4fd40,['Harry Potter - J. K. Rowling'],,,en,1527,1/84,6,67,6,1376,2015-12-01,G,M,N,W
5277644,A Convenient Impracticality,25d9d445eb09d1f866907357ea55280aba9d5a573e425c3e40dcd6398f62e06e,[],3+0+2+5+1+20,226+38+255+148+1760+212+2256+1065+2042,en,38540,1/1,848,19748,5326,311278,2015-12-01,E,M,C,C
5324108,A Night on the Town,0484edf543b38277f01778a8d87f48cf55bf01ef67daa170c56356450d15ec66,[],6386+483+66,817+2939+10675+2319+342+0,en,3415,1/1,3,27,3,700,2015-12-01,G,H,C,C
5325392,An Unforeseen Evening,95c6ab0e513cfdbc387fec78abc6db1c37c47179a28080e7a9bb106db9fbf99f,[],13+2+1+85+556+308+32,7+5+141+57+4488,en,5017,1/1,10,447,54,10507,2015-12-01,E,H,C,C
5392544,A Perfect Opportunity,e83be4c63fe5ce3531f0f131f80101f2a4afdbabf6f4d8c1c26d98bcc3006d18,[],4136+1+190+139+146,11+57+60+115+53+180,en,2283,1/1,16,191,29,6021,2015-12-01,E,U,C,C
5414867,最好相知｜If I Had Known You,c7f2c98633fe4729e70ee85a5a06b1645024d2d169b8b9e9aa84fafb8dda96d8,[],4+8+1077,9+235+3005,zh,3544,1/1,7,36,3,1256,2015-12-01,G,M,N,C
6026092,Raising Teddy,ae4481acaad0a54e050d823030561bc3559cef5b02133d85c47054a14c50ac63,[],9+4+7+50+24+0+10+35+159+319+2626,165+256,en,3736,1/1,23,479,59,5419,2015-12-01,T,M,N,C
6103350,"Stolen Kisses, Secret Smiles",e7a8aa2df7e5d0b233da615af4e7fef148bec39aef1709da0a80391ad0316563,[],4026+128+3161+3814+365+86+10+15+168+1,23+475+10+2+403,en,2112,5/5,7,29,4,600,2015-12-01,T,F,N,C
43858785,На удачу,a3e749278612bb45b66dd8afcf8699c13bb9ba155e9cc96f77813c35c554fbcf,[],213+18+15+143,,ru,208,1/1,0,0,0,1,2015-12-01,G,H,N,C
4304556,The Boy Who Wasn't,fc94bdef3c0398b21df7c9be37a0cd17221a6fdb97e303595cdf3a0e8bed1f81,[],615+0+2+20+5+88+31,360+103,en,14529,4/?,2,107,26,2712,2015-12-01,G,G,N,W
5328212,All Roads Lead Home,eeef8e36fd8000c8be5c35645a785d977dd6777db78bddf97d9f4a14bdec5792,[],3+2+0+5+1+35+51+24+10+53+57+56+62,2,en,14981,1/1,245,7902,1809,82526,2015-12-01,G,M,C,C
5328278,"no regrets, just love",411373acfbd36db3217aa5f687417240bf6766a31bf1e8c183f08f81769f70bf,[],3+2+0+50+47,256+174+162+165,en,1911,1/1,5,252,25,2390,2015-12-01,G,M,N,C
5328329,my lover's the sunlight,411373acfbd36db3217aa5f687417240bf6766a31bf1e8c183f08f81769f70bf,[],3+2+0+68+1025,6+48+0,en,1301,1/1,8,437,40,3848,2015-12-01,T,M,N,C
5328344,you're the only place that feels like home,411373acfbd36db3217aa5f687417240bf6766a31bf1e8c183f08f81769f70bf,[],3+2+0+232+937,1701+1745+0+212,en,2444,1/1,8,508,42,6064,2015-12-01,G,M,N,C
5328614,Noël à Poudlard - Jour n°1 : Château illuminé,247196a8fd135496797b48af8be40749ba5d81529d993d0eb2cadf62c8bb6532,[],31,7+35+10432+124,fr,234,1/1,0,0,0,148,2015-12-01,G,0,N,C
5328638,Christmas Checklist,9780a3ae0f677cc16579faec8054f78dccaa426bc1fa96ea63d7db04430dfa49,[],9+4+7,0,en,803,1/1,2,133,3,1583,2015-12-01,G,M,N,C
5328788,Sunrise in Vadsø,7c0a78a3ca0d6a82e835ec1651b4aa186b47beafbe8a80bf671e092a38668381,[],358+2+18,8+10+192+188,en,300,1/1,4,51,4,1194,2015-12-01,T,M,N,C
5328902,Cobras e Leões,a59832ef2bd0adc59a348f718c97bcf083c4775ebf7b40d7ebca0ed71e86d7d1,[],3+0+2+20+31,0,ptBR,1016,1/1,2,18,3,273,2015-12-01,T,M,N,C
5328971,L'homme de Mes Rêves,0484edf543b38277f01778a8d87f48cf55bf01ef67daa170c56356450d15ec66,[],9+4+7+8+111,9+435+8+0,en,4384,1/1,27,1565,212,11209,2015-12-01,M,M,C,C
5329154,Feeling It Out,af3e65058ad75900cf5e2f15fd14449677816d648dc7467424bd8ca5ea796f12,[],3,,en,338,1/1,8,66,5,698,2015-12-01,G,M,N,C
5329352,Tried and Tested,f62dffbcd231f281a5552fb8adfda8ae0419d46f89b5f9e8e56f3aea3f72104f,[],9+2727+4+7+8+19+14,0+2+40+38,en,3430,1/1,28,3489,385,39638,2015-12-01,T,M,C,C
5329550,Art: Riches for me,4832e369b188556b4feba1be8f4591fa0dab0be3c950ed1b0e51749495a9a631,[],3+0+2,197+1561+59+10,en,100,1/1,0,15,1,866,2015-12-01,G,M,C,C
4957996,Secrets,49b3842d80692cae93607fbaa581ec74c2b7bfa005c07a145a23e1a018874e58,[],1791+1954+24+2+28+57+53+228,,en,24067,13/13,56,728,102,13967,2015-12-01,E,M,C,C
5330312,Maschera infranta,b3701c39619aaeb678bdffc0b80f2cf642b19f1700de4277f1b58d6b067715fc,[],6,23+181+59+10+546,it,406,1/1,0,1,0,67,2015-12-01,G,H,N,C
5330810,The Moon Sure Is Beautiful Tonight,b236bb9e7fa079bf25cc849f2f90d85d07823445eca1d66ba6da294e99968d37,[],7+283+281+150,,en,1252,1/1,1,20,2,433,2015-12-01,T,G,N,C
5331191,Hold Me Close and Get Me Home,6ebc11ef00ebece268174db21059c80e01186fcba765ce8467a8225bd96ca3c1,[],3+2+0+10+1+5+24+32+208+68+232,2+71+336,en,1604,1/1,3,61,4,1600,2015-12-01,T,M,D,C
5331275,We Never Did Have A Chance,6ebc11ef00ebece268174db21059c80e01186fcba765ce8467a8225bd96ca3c1,[],3+2+0+252,2+10+49+0,en,796,1/1,10,197,17,2049,2015-12-01,T,M,C,C
5331329,Quidditch Tryouts,6ebc11ef00ebece268174db21059c80e01186fcba765ce8467a8225bd96ca3c1,[],3+2+0+5+65+88+37,0,en,711,1/1,2,78,6,1182,2015-12-01,G,M,C,C
