id,title,author_hash,fandoms,fandom_tag_ids,general_tag_ids,language,words,chapters,comments,kudos,bookmarks,hits,date,rating,category,warnings,status
5597326,A Good Beginning,7c0a78a3ca0d6a82e835ec1651b4aa186b47beafbe8a80bf671e092a38668381,[],16+6+0,192+188+13+1804,en,498,1/1,2,78,7,1020,2015-12-31,T,M,N,C
5597545,Not a Mean Bone in Her Body,5c821a04fe8e727eafd42170872281a0af660f120d610a34007ebe80283a173b,[],1300+81+122+31,25+95+1286+219+344+1137,en,1224,1/1,2,185,10,4099,2016-01-01,G,H,C,C
5597638,Anorexique,dc691d9176582dd5e6456fc692cf3ee48efdb79760728883e7da6604e951b7b7,[],212+62+56+0,1739+493+558+35+153+110+7,en,363,1/1,2,59,4,1645,2016-01-01,T,H,C,C
5597659,May I Kiss You?,5c821a04fe8e727eafd42170872281a0af660f120d610a34007ebe80283a173b,[],589+24+28+0+1+5,26+1385+344+1137,en,1079,1/1,0,173,5,3730,2016-01-01,G,H,C,C
5597914,Sun In My Eyes,0484edf543b38277f01778a8d87f48cf55bf01ef67daa170c56356450d15ec66,[],9+4+7+8+12+59+196,18+1837+327+0+24+30,en,12823,1/1,43,1580,306,17690,2015-12-31,G,HM,C,C
5598520,Most Things Are Never Left Unsaid,5ff2ea71d527139c86dadc8f8dd30ee45b3e4dab7f060c87feb080f1ca69c0e6,[],3+2+0+7+399,2+12+36,en,1926,1/1,8,424,50,4714,2016-01-01,T,M,C,C
5599375,Dreading Summer,db23bda4058a6c35735847854e2d31082f6d2f482abfb8116fdac3a87af3e469,[],57+99,,en,139,1/1,2,59,0,935,2016-01-01,G,G,N,C
4763258,Not As It Seems,fbfec789756ac045c85e20d72c4af76733446cc4887550612a1da8dafcbf1a20,[],0+12+6,251+177+11,en,5620,4/?,36,26,6,703,2016-01-01,M,G,C,W
5599603,The secret she kept,862023e0a491e7eb725aa4297be60d89e83d04721ffd28c15a8d533c659c4c3b,['Harry Potter - J. K. Rowling'],1,33+175,en,0,1/1,0,10,0,557,2016-01-01,G,H,N,C
5599741,Hermione and Ron,862023e0a491e7eb725aa4297be60d89e83d04721ffd28c15a8d533c659c4c3b,['Harry Potter - J. K. Rowling'],558+29+1+5,175,en,0,1/1,0,13,1,1528,2016-01-01,G,H,N,C
5599789,Obliviate,862023e0a491e7eb725aa4297be60d89e83d04721ffd28c15a8d533c659c4c3b,['Harry Potter - J. K. Rowling'],1,,en,0,1/1,0,9,0,613,2016-01-01,G,H,N,C
5599708,Punishing Draco,dfc75d0a4b188d662e227a63acfedb356fa4fbafd0cb411e7c2355263d5bd288,[],19128+2+36+139,143+614+281+1980+1791+635+5019,en,1585,1/1,6,151,16,12917,2016-01-01,E,HM,R,C
3657645,Saving Family,5eb04ef3b127566c9c9d6191a2c7ddf2108180485975ea2324efaafefb80206b,['Harry Potter - J. K. Rowling'],1+0,156+416+435,en,11431,9/?,36,407,100,6281,2016-01-01,T,0,C,W
5600269,A Bond Unbroken,3b4d6a471c2da3c3f21d173762a54396cc56d93ddfab9de255119db68c86c3b0,['Avatar (2009)'],0+130+354,33+718+888+207,en,6414,1/1,72,2145,453,25064,2016-01-01,M,M,N,C
5600455,Dorkus Maximus,dcbf940bc4a6d329a0ad1dbe3e6ea92611adaa9a71a32a8f26af93c5acc01cf5,[],3+2+21+0+20+5+1+25+2159+862,407+11+3050,en,6077,1/1,30,1675,171,20272,2016-01-01,T,M,C,C
5601382,Always the Student,4c424a65a83255831d71f5c0bfac9f4691fc34f5c13fce94d0925014bb954082,[],16+0+6+1+5,,en,6272,1/1,9,211,30,3636,2016-01-01,E,M,N,C
5601820,Swearing at the Rocks on the Sidewalk,2826c6cb67cc76fa870ae56dae41cc68f6c58fca5e2fb35c42932300cdb35061,[],3+2+0+1,668+793+173+942+212+253,en,2775,1/1,3,103,8,1739,2016-01-01,T,M,N,C
5601838,Blending French and Parseltongue,e0ec4f94e69cacf2c08938a7eddf412a1a3258ef9ccdb1c016c208c8125ed83e,[],3+2+0,,en,4225,1/1,8,285,36,4408,2016-01-01,E,M,CU,C
5205317,Incandescence,d4b9d55166514fda058968dc4ae07a546c79ed1308d2e03d8dabef885967599b,[],9+7+98+111+55+40+19+59+196+0+48+4+2029+1732,4179+568+3505+145+222+5406,en,13447,4/?,61,595,114,10340,2016-01-01,T,M,N,W
5289359,"Siria malfoy:book one,the enchanted green amulet",0484edf543b38277f01778a8d87f48cf55bf01ef67daa170c56356450d15ec66,[],18212+2+91+209+573+511+50+0+227+28+10+24+35+53+57+569+438+51+6+146+31,,en,10183,6/?,2,3,0,222,2016-01-01,G,G,VD,W
5489864,Property of,6718e128cc2c54feeff2d26d55b2ff7de3b8d8b3de212cc0fc71dbda0da90fdc,[],3+0+2,568+2602+230+105+8+51+2067+340,en,999,1/1,6,576,40,9039,2016-01-01,G,M,N,C
5587111,Carrying On.,c5ced35dab7b83926bc7b8373e2f61af9d81dd150edf6b77e9976ec01ddfee18,[],8+12+4+7+19,2809+2155+1078+2749+2445+292,en,2818,2/?,0,3,0,61,2016-01-01,G,G,N,W
5587921,When you walk in golden halls,87aa39ab9c2ef2aa90aa62399ce51692fb2af06c23e3ea2ab07c7ba48f32e0d4,[],84+0+70+97+54+2+69+47,61,en,1265,3/?,0,23,2,529,2016-01-01,T,HM,N,W
5599138,Priorities,0dc66be9a0549c10b2bd28c223992e73f23a037d0bda5776d51aafbce4b065e0,[],18285+15+2748,926,en,556,1/1,1,3,0,76,2016-01-01,G,H,C,C
5599204,Serendipity,0dc66be9a0549c10b2bd28c223992e73f23a037d0bda5776d51aafbce4b065e0,[],49+1+6,15+27,en,1422,1/1,2,247,25,11648,2016-01-01,E,H,C,C
5599309,Perditius,0dc66be9a0549c10b2bd28c223992e73f23a037d0bda5776d51aafbce4b065e0,[],49+598+91+1+6+47+75+17+2+15,3166+2791,en,6793,1/1,9,71,7,1558,2016-01-01,G,H,D,C
5599405,Late Redemption,0484edf543b38277f01778a8d87f48cf55bf01ef67daa170c56356450d15ec66,[],16+0+6+112+93+1+79,285,en,6853,1/1,3,143,24,3434,2016-01-01,T,M,C,C
5602984,Neville Longbottom and the Boke of Fecretf,eca3cde328fa41139ec78b64da43b0e99761d2e3a016c4ae305fef39fb7fd377,[],18+6,103+4300+13+34,en,3296,1/1,4,21,2,275,2016-01-01,N,G,N,C
5607604,Code Ragnorak:Ascended,88ed525cab53b6a67d63ffa915154a20761c5f1dde6605bb8dbe536d8ee4df36,"['Buffy the Vampire Slayer (Comics)', 'Harry Potter - J. K. Rowling']",23+44+0,,en,2424,1/1,2,23,2,926,2016-01-01,G,0,D,C
5609635,Of Books and Broomsticks,38c289dd8d2886a9ac625f1b19e0276e6abd20cc2bdfa253b20c0a276bf0f179,[],3+2+0,13+234+1134+369,en,564,1/1,2,167,5,2335,2016-01-01,G,M,N,C
