id,title,author_hash,fandoms,fandom_tag_ids,general_tag_ids,unknown_tags,language,words,chapters,comments,kudos,bookmarks,hits,date,rating,category,warnings,status
4358492,Premeditated,6f79074bcf1f0f01b31d7793b6b6533f939c8a4559f445fed091655028e7fdb5,[],7+0+3+2+4+5+1+,122+,"['Kim Namjoon | Rap Monster/Min Yoongi | Suga', 'Kim Namjoon | Rap Monster', 'Mention of Past Abuse', 'Policeman!Jeongguk']",en,10333,1/1,94,3437,720,47204,2015-07-17,M,M,C,C
4365233,Later,0484edf543b38277f01778a8d87f48cf55bf01ef67daa170c56356450d15ec66,[],67+8+0+1+,2+,"['eeeeeeeeeeeee im not sorry', 'jikook - Freeform']",en,3669,1/1,4,50,3,2031,2015-07-18,T,M,C,C
4366463,twist and shout,78c8178c463be607f37edb166b1e7340f26ed732b3b797c46b6431a7d91a52b4,[],9+2+1+,60+5950+,['Stretching'],en,1750,1/1,29,1075,148,38088,2015-07-18,E,M,N,C
4366928,Eh... Why Not,ec30decf527750bcb5d062c70b54be622485d3958a7045fc0f21e5dbe28c8f87,[],7+0+3+,50+,"['Pointless Drabble', 'really though', 'what is this', 'taekook']",en,657,1/1,20,589,36,6254,2015-07-18,N,M,N,C
4367114,i guess you say (what can make me feel this way),6ddbfca5e371d890cc4654831676dfbf63e5ffb1f72070b71058a55ef179e604,[],8+32+1+0+3+5+4+2+,+,"['Kim Namjoon | Rap Monster', 'pool boy/country club au', ""attempt at fluff but there's a bit of angst if you squint"", 'lapslock', 'implied separated parents', 'implied vhope at the end']",en,6083,1/1,16,845,140,10360,2015-07-18,T,M,N,C
4366349,irresistable,6dfe5e345e79a9bfeb5995850bc511b978ac34ad82554609f44edcb8eb68d6c1,[],14+3+2+,0+35+,['lapslock'],en,752,1/1,7,138,11,2032,2015-07-18,G,M,N,C
4368389,Sulking Stage,2aed116038fd3d047d025523f6d01ebbc7914f575a63c42152c6b9bed8bea650,[],9+1+2+,427+1251+,"['demon!Jimin', 'Incubus Jimin']",en,287,1/1,22,174,10,4068,2015-07-18,G,G,N,C
4368620,Strawberry Milk,83c7b09dbdb2b78264a08c6e49cf985aea847ba195beadd5935208912246eb94,[],9+,0+36+,['an unacceptable amount of fluff'],en,3041,1/1,48,2626,432,27468,2015-07-18,T,M,CN,C
4368950,15.01.14,0484edf543b38277f01778a8d87f48cf55bf01ef67daa170c56356450d15ec66,[],2+,0+,"['Kim Namjoon | Rap Monster/Park Jimin', 'Kim Namjoon | Rap Monster', 'park jimin | jimin', 'mention of seokjin', 'Drabbles', 'well if 1k still means drabbles', 'Cops AU']",en,1355,1/1,4,93,7,1700,2015-07-18,G,M,N,C
4371029,Kiss Me Sweet,41fd26ddd18609295592553d356e40b8b710e158285e9b8810fb65457ecb777a,[],16+4+2+,58+892+30+45+,"['mentions of rapmonster/yerin(15&)', 'a lot of it']",en,2027,1/1,11,557,76,7018,2015-07-19,T,M,N,C
4371425,Summertime Romance,4682e9a5c43fb3d560dd3a0685c63cc72b867086cebe4425d4d5464ab306e136,[],10+8+2+5+1+4+0+3+,995+2756+,"['Kim Namjoon | Rap Monster', 'implied vmon', 'jikook is just side i guess', 'woww', 'group shenanigans', 'implied college AU', 'i guess', 'camp counselors', 'sports yay']",en,5451,1/1,16,780,136,11198,2015-07-19,M,M,N,C
4373495,"make this last, take it slow",9f49d955eff98b89ce0d401fe60f2fb8c686af3b98cff244c9caf743269e0972,[],9+32+11+7+,2+10+0+,"['Kim Namjoon | Rap Monster/Kim Seokjin | Jin', 'slight angst', 'College!AU', 'Non AU', 'engagement!au', 'Depressing Themes', 'Will add more as I go', 'One-Sided Love']",en,819,1/?,0,11,0,547,2015-07-19,M,U,N,W
4374143,hold me tight (so I can feel you),06cbda2c7cfac2bb7e921af48012320a5e5660179656ea443b70c9ddb3eed5d1,[],11+1+3+,2+,['i dunno what to tag this whoops'],en,255,1/1,3,62,2,838,2015-07-19,G,M,N,C
4374158,always there,06cbda2c7cfac2bb7e921af48012320a5e5660179656ea443b70c9ddb3eed5d1,[],31+5+1+,2+10+,[],en,550,1/1,4,70,3,782,2015-07-19,G,M,N,C
