id,title,author_hash,fandoms,fandom_tag_ids,general_tag_ids,language,words,chapters,comments,kudos,bookmarks,hits,date,rating,category,warnings,status
17615588,White Coat and Gloves,08d361997c3fa4786aa090b0115ba9c6c80cc193fb593cbbd63dfd4da08751ca,[],2+0+1,6553,en,2655,1/1,9,87,9,1975,2019-02-01,E,M,N,C
17616983,A Sherlockian Fairy Tale,0f7ca3a451102c9d5cb7bf1ebf917b4cc63b53bac3f711e5a4a37bed9814c199,['Sherlock Holmes & Related Fandoms'],9+0+5,1802+20+942,en,1211,1/1,22,98,2,1644,2019-02-01,M,H,C,C
17617022,The Fifth Northumberland Fusiliers,bed4891fe3f184907cc2c8f3f300f5428a65f8a7e2efc6f0ff7181d5a20d16c2,['Sherlock Holmes & Related Fandoms'],2+41+0+12+4+1+13+358+240+88,0+11+9+160+13+313,en,2344,1/1,17,1312,105,11348,2019-02-01,G,M,C,C
14244780,Please Tell Me He Isn't Another One?,0a0d0aecceacb94ac95a125505d6073c3960d7e63a3e3b9620f5440c58cfc90a,['The Avengers (Marvel Movies)'],2+549,33+13+585,en,2583,3/3,50,1840,130,20339,2019-02-01,G,G,N,C
17617997,【授权翻译/Mylock】I would have waited forever,7e417a85181f2ef38063caf5258af82b7b23324a7be987b279113e300ccc6cfc,['Sherlock Holmes & Related Fandoms'],19+28+0+3+4+1+96+31,,zh,23991,13/13,0,29,4,1453,2019-02-01,T,M,C,C
17619119,The (NOT) Epilogue,e1d593b5c50f2bf607886fbff6cfc693b050d0d86a0a8ac27685e8acb5085d12,[],2+0+1+3+4+13+228,72+142+70+413+208+38+43+129,en,1403,1/2,2,2,1,107,2019-02-01,M,M,C,W
17619545,【麦雷/ABO/pwp】雏菊,a7a2e2366850e3b1b0d501fcd70817e9a45c2567173f1db583089047a913c43c,[],7,,zh,3613,1/1,4,87,3,5090,2019-02-01,N,M,C,C
17618951,The Way Back,7c87f5cf7f52514f362e0c1fc407935da89390b8507e82bd2396f8edb31869c7,['Sherlock Holmes & Related Fandoms'],7+3+4+58,317+117+30+2505+239,en,2826,1/1,86,492,44,3319,2019-02-01,T,M,N,C
17620385,There's no blame in white lies,76cd3ae15e70dbef73824d3620b0645eb1c7ae0389c990631fe279810fc46388,[],2+6+32+0+1+36+3+316,425+6+3741+126,es,1962,1/1,0,7,1,152,2019-02-01,G,U,C,C
17530946,We Will Meet Once Again,85d0c230132c7b50010c3652941764672d0c91cb379ceabc02838f09feb936c1,[],0+1+15,2+1364+591,en,221,1/1,0,6,0,89,2019-02-01,G,0,N,C
17615657,All Depending,c9e2129d3feb29a746596f87919b060b16f1b8ab178b0a95f90ab7e21f7fb47e,[],2+19+31+48,122+6+21+36+0+212,en,6730,1/1,24,267,27,3166,2019-02-01,M,M,N,C
17617343,As If In Another Form,0a0d0aecceacb94ac95a125505d6073c3960d7e63a3e3b9620f5440c58cfc90a,['Sherlock Holmes & Related Fandoms'],6+0+1+492+88,594+186+284+70,en,1502,1/1,8,230,24,1321,2019-02-01,G,G,N,C
17622242,Into Battle,c44897c6882e9955f5050a447442473202a2f048e5d4d4820584e7879357a2d8,[],,236,en,678,1/1,0,3,0,29,2019-02-01,G,0,N,C
17622986,Foto... ¿qué foto?,1b1c7f5673e3085b6949ff8831c53436ed54e2c15fa2322351ce52f60c410b77,['Sherlock Holmes & Related Fandoms'],7+4+3,13,es,491,1/1,1,17,0,241,2019-02-01,T,G,N,C
17442377,Final Words,31f5626ab497cebd10e6bbd7a7c5ed3c307cda3a863324ae07bd21b12a6af716,['Sherlock Holmes & Related Fandoms'],2+6+0+1+114,128+340+4953+68+30+102+43+45+39+80+2053+5687+2729+44+1014,en,10921,3/3,84,720,88,6845,2019-02-01,M,M,C,C
17599535,For the man who knows what he wants (A Birthday Gift),e73187de453f9c727a099176d0f87a9065525dd0da6776784f401ed20653f5ea,[],2+0+1+3+13,13+2+4838+2626+124+6+238+3067,en,9475,3/3,52,153,12,1563,2019-02-01,E,M,N,C
17625305,Low Tide at Sea Garden,251cf7f57ccf1cc2e4a14d6a2f759f9b7bde746eb652d0e507f84c1553ed248c,[],2+0+1,4645,en,3001,1/1,1,37,3,729,2019-02-01,E,M,C,C
17625581,An Offer of Employment,dc9c3b23b0ee07f54f846256f11ea115a187361390f3ff74badc6cf8dfce9ea1,[],9+30+14+0+5+1+3+4+290+226+36+16+10+2155+162+1797,18+313+77+184+402+9+3612,en,3395,1/16,4,38,1,593,2019-02-01,T,H,N,W
17630024,Спасибо тебе за музыку,09d69bb5471f71e0fe655839a391b2743e434c9d445fe8289e327b6ecb359605,['Sherlock Holmes & Related Fandoms'],2+6+0+1+31+27+189,8+10+599,ru,181,1/1,1,20,0,213,2019-02-02,T,M,N,C
17630201,What Dreams May Come,aa3a383a8b47fcf54eca5e7623ac5bc64b40df81f9fe000773d19f6fc7253a68,['Sherlock Holmes & Related Fandoms'],212+6+3+0+1,23+11+501+1214+9+202+31+305+435+1213,en,857,1/?,4,14,4,429,2019-02-02,G,H,C,W
