id,title,author_hash,fandoms,fandom_tag_ids,general_tag_ids,language,words,chapters,comments,kudos,bookmarks,hits,date,rating,category,warnings,status
7925860,That Special Thing,030a9babbd17eae350f673bdaa8d32bb5b85abbce79dedfa5f413242ce0b1594,['Sherlock Holmes & Related Fandoms'],0+3+23,221,en,731,1/1,1,21,0,639,2016-09-01,M,O,U,C
7926286,"Scotch, il terzo (Scotch, the Third)",0259848d04bbb991f55e413ce9b2c7e3f463c82b526c827eaaae31e1963a1f77,[],7+3+4+13+1,,it,6612,1/1,0,3,0,166,2016-09-01,G,GM,N,C
4679213,Evanesco,4fd74742d3afc6a25bab664a4f51ae1b11ef17d7f2d0360f55c89882707e988b,['Sherlock Holmes & Related Fandoms'],2+0+1+3+110+105+5+8+21+128+33+253,24+4406+103,en,6105,4/?,12,62,13,812,2016-09-01,G,GM,N,W
7926727,I Want You (But Only If You Want Me Too),543fcf6fb02f793f4a1fa46cc3c3472e8f5ea2fcf200ff441619d94d0cb49790,[],2+0+1+3+205,109+1632+2+299+273,en,4243,1/1,37,497,66,5233,2016-09-01,T,M,N,C
7926874,I Try,003485fbc77cb585c9dd9e240dd3ac9070cc82d39e2e035d71ea16a739ca949d,['Sherlock Holmes & Related Fandoms'],6+0+87,201+1714+2,en,387,1/1,14,40,1,552,2016-09-01,N,M,C,C
7927831,Improbable Remains,d6483598eb906555bc48ba3598428330824fef800df0d75bfb3a734bea1c8ca2,[],2+0+1+4+3+181+896,306+463+735+294+48+640,en,3899,1/1,57,337,25,3082,2016-09-01,T,M,N,C
7928812,Emociones,91d9e508fe3fe6923a3cf0e5f541dee506649936507aa4c082c3a31667144476,[],119+6+0+1,2+6+10+36,es,1273,1/1,0,17,0,159,2016-09-01,T,M,C,C
7928956,Noc... A nocą gdy nie śpię...,6203342ff4816f3188bc36092c21bfb2319a02da1e0e58f46de74c77bf468fac,[],17+44+11+8,,pl,210,1/1,5,35,0,320,2016-09-01,N,M,C,C
7928992,If Only You Knew,c263458839261b51c2be62652e1b192e8f32b40b0faa90d2b7d93fa580039d7a,[],2+14+4+0+1,219+2,en,1626,1/1,7,45,0,875,2016-09-01,G,M,N,C
7929055,Silent screams,92ff70d594f5090196bd86567021bb0246766f4de5272658ee281acc7ac91f0c,[],19+3,,en,415,1/1,6,20,2,280,2016-09-01,G,O,N,C
7929433,Back to December,79a1ca45d4440de7f5a0cd63cad1a2f897a81ce7411319c3fb904abdb6fdf27a,[],67,0+2+228+298,en,4506,1/1,9,125,10,2550,2016-09-01,G,H,C,C
7879969,Guarded,94bb0caf27a2a49356cf7a4a852570a4490d18c7ef08e3e717079359aa944e80,[],2+0+1+3+21+40+103+33+4,499+2129+3118+51+490+1446+470+345+1380+3411,en,70590,19/19,8,134,36,4677,2016-09-01,E,M,N,C
7925548,love was painted gold,1e8c1002edf381c442d4ac0892ff15c46b4d3fbaf2ca411420cb158df3fc8afc,[],2+0+1,0+887+1519,en,1318,1/1,6,27,5,509,2016-09-01,G,M,N,C
