id,title,author_hash,fandoms,fandom_tag_ids,general_tag_ids,language,words,chapters,comments,kudos,bookmarks,hits,date,rating,category,warnings,status
6119017,Гераклу и не снилось,41fe80ecfe7f79b34e876994784ef88674b0f4b5dc50a2f9b92302040e6dd45a,['Twelve Labours of Hercules'],,816+13+507,ru,11314,10/10,0,13,3,379,2016-03-01,T,G,N,C
1883358,My Poetry,d15a59e4016345cd20a8e7a9505bd6b407ec68df21c1111df4e5717880eca664,"['Christian Bible', 'Greek and Roman Mythology']",,236+7123+5650+1247+196+684+10793,en,3290,29/?,4,51,7,579,2016-03-01,G,0,N,W
6146836,For the good of mankind,af71fac412240919d2d3e939088fdcc3eba4daab22df2b5fe29fa27ccf5d33a7,['Greek and Roman Mythology'],,1975+807+457+273+1684,en,9993,2/2,0,59,8,1732,2016-03-02,T,M,N,C
6159439,Pandora's Box,aeebfe845c7744b17a3df183297f0538c13f20f909c4665db00d402dfb4d1cea,"['Greek and Roman Mythology', 'Thor (Movies)']",,471+772+2850+3417+271+435+445+2070+1055+353,en,18639,8/8,0,4,0,271,2016-03-04,T,H,C,C
6159751,Reconnaissance,aeebfe845c7744b17a3df183297f0538c13f20f909c4665db00d402dfb4d1cea,"['Greek and Roman Mythology', 'Thor (Movies)']",,471+410+2018+2850+271+435+521+445+103+1705,en,5038,1/1,0,4,0,196,2016-03-04,T,H,C,C
6193699,she wakes with the dawn,2a86eadb6beb26e09d5edfc0ebfb4e7a7a2f9944a9c4d069d9e50a031d55f179,['The Iliad - Homer'],,,en,4008,1/1,8,47,10,586,2016-03-08,G,F,N,C
6203059,"Hephaestus, God of the Forge",d7b2db855595b0d3ac42a29a5c9cbb10c373c93c2fcb512e3429ee7b38675812,[],,7192+57+173+141,en,1932,1/1,24,327,22,9606,2016-03-09,E,H,C,C
6201874,Tea with the Dead,578b6dbdcb8e7ba625fa0af5b9cbb1d739c3c01bbd82fd04b0e145f76802a3a9,['Greek and Roman Mythology'],,,en,4986,1/1,19,54,6,508,2016-03-09,G,G,N,C
6216169,Flamme,c0f687d79ee8fc290063f4fc9f331409180080321dea8e1eb3e55f1d71ec0249,[],,439,fr,1410,1/1,2,23,2,477,2016-03-11,T,H,N,C
6230929,La Fête,c0f687d79ee8fc290063f4fc9f331409180080321dea8e1eb3e55f1d71ec0249,[],,14579+18+50+439+1835+5403+2296,fr,4293,1/1,3,8,2,1332,2016-03-12,T,FHGM,N,C
