id,title,author_hash,fandoms,fandom_tag_ids,general_tag_ids,language,words,chapters,comments,kudos,bookmarks,hits,date,rating,category,warnings,status
41944314,My Fate,2017fb1a123df62d1f94ed50d9f405b60d6aef99776fe28cb865dfc26cd3b7b6,['Lore Olympus (Webcomic)'],,1647+223+1698+91+405+496+76+49+10+238+57+180+173+69+5+12+39+59+305,en,3415,2/?,0,0,0,44,2022-10-01,M,H,C,W
42048003,Fallen Love,d6b2c175d16bc2fcf485854b1e2766db64a6af49690685c79c03142e3ddd4960,"['The Iliad - Homer', 'Ancient Greek Religion & Lore']",,71+3643+5931+236,en,114,1/1,0,20,0,396,2022-10-01,T,M,D,C
42074871,Time,569dad514b89b37db15be4c5e1d2f4af536214c63fa4fcaa352bd8a3619ced02,['Ancient Greek Religion & Lore'],792+36+165,424+71+98,zh,6835,1/1,0,0,0,24,2022-10-02,T,F,C,C
42074412,Threw My Heart Away Each Spring,57250ccd92e91f754cb8f52504b7719311308d1911fad963621c5a9003559e76,['Ancient Greek Religion & Lore'],1+2+0,108+393,en,2074,1/4,6,66,7,540,2022-10-01,M,HM,N,W
25906408,Who You Once Were,67374b423f22590c0c92e35339bdb48c1f5d69e9d0ced4575535a6079a50ad80,['Ancient Greek Religion & Lore'],,79+1264+159+363+1993+7422,en,45092,19/?,370,1058,198,28218,2022-10-02,N,HGFMU,R,W
42080667,Kinktober 2022 #1: Theseus x Minotaur,309411a2d057f06e25dd2dc2876ffdab2945b631dc0de8401087b604564760c9,[],237+53+48,1233+929+5044+631+773+2154+8302+54+705+553+3+29,en,1970,1/1,1,38,5,1013,2022-10-02,E,M,N,C
42097218,I et A,39eea57418454ee3672b4cf3645aea7c051e8f818d3428aab2b408ddc5a9a850,[],64+0,3946+7017,en,590,1/1,12,19,4,133,2022-10-02,T,M,N,C
42107607,"Oh Death, Come Close My Eyes",5943a0957b040d5650d2d12374414bdd14457f06b705a939ac8bf8b0f9631df5,"['Hololive (Virtual Streamers)', 'Ancient Greek Religion & Lore']",,26+1647+7+894,en,3527,1/1,6,32,5,286,2022-10-03,G,G,N,C
41541750,Strange Like Me (formerly Son Of The Sea),5ba03fa29f61e5e77172d0ebfb55e7d6f4b5f9747f62786016606ae3da9b5919,[],233+826+573+8+10+5+3+12+13+0+22,195+3782+2+538+617+1117+334+1324+706+1350,en,11052,16/?,0,9,0,304,2022-10-03,T,FHM,V,W
42125139,Where The Spirit Meets The Bones,21e3c0cb24e0222c35b81549ecc89044778e057b3bcbf026fac2dda3ce5636bd,['Hadestown - Mitchell'],67+14+3+5+47+20+9,3752+1493+8280+150+441+881+2115,en,2078,1/1,8,34,7,529,2022-10-03,T,H,N,C
