id,title,author_hash,fandoms,fandom_tag_ids,general_tag_ids,language,words,chapters,comments,kudos,bookmarks,hits,date,rating,category,warnings,status
22067035,"Death of A Hero, Death of A Coward",f9aaae2c05eb2b78b527cac08190d8e53b5f32e57af100feeb878675aff30eaa,['Mythology'],12+89+51+36+25+5+10+4+8,,en,4683,1/1,0,4,1,193,2020-01-01,G,G,C,C
22060855,Tacet,54341a3a523670d58eef6364ce5ae4f9d8a88f5f741596b2d064bbf91dd9706f,[],55+69+3,2+38+215+1714,en,709,1/1,7,16,0,128,2020-01-01,G,H,N,C
22061824,Leda's Interlude,e304e18981b5300716724c0497d8a99861aa68a3ebb79e64103f467fead6dced,[],327+193+5,8804+143+98+1888+528+2099+636+1336,en,405,1/1,4,85,10,1687,2020-01-01,T,H,R,C
22062106,Trust,a4f4149c7af421963cb5c07ab4df55fa1bd78f27046c4eaee9c9234cf49d6680,[],55+69,1647+419+998,en,261,1/1,0,10,1,101,2020-01-01,G,H,N,C
22094080,#希神同人/赫波（hermollo）#往昔与未来与无稽之事,7fb88b4f329b1eebe9068ddead5e241ba0c2554f28780538e5b8a10f137ae7a3,[],174+4,,zh,2771,1/1,4,24,1,876,2020-01-03,M,M,N,C
22095961,Lonely No More,0d53b8d9badf69c7e912cfa1c78e0cb568b094febb19dd9270260962e7085d12,['Ancient Greek Religion & Lore'],390,13636+216+1549+3111+3389+347+29+1050,en,3865,1/1,15,40,2,1407,2020-01-03,E,M,C,C
22100470,I have never known a day quite like night,3e3660e20dc12f3a36280db7ba35abfbddabb33345da4eba7af315e21a203320,"['Ancient Greek Religion & Lore', 'Illiad - Fandom']",15,236+9927+3121,en,456,1/1,10,47,6,1095,2020-01-03,G,M,D,C
22109575,A Love Song Succeeding,b00d3a13f906c3483a85602223ae72ce91e77e4b96f0b3ce1fd64ee280cdcf79,"['Hadestown - Mitchell', 'SHAKESPEARE William - Works', 'Hamlet - Shakespeare', 'Othello - Shakespeare']",3+8,19+2840,en,1177,1/1,4,10,0,33,2020-01-04,N,F,C,C
22110322,Mine.,9c42fa4d60f790624e9fd6095b8ec5368be47f3389df86abde04e4a31ecd8e5c,['Ancient Greek Religion & Lore'],7+3+10+5+12+8+88+32+13+333+280+250+35+61,397+1107+0+39+91+10+89+128+60+72+1050+7852,en,6803,1/1,47,238,9,5873,2020-01-04,E,H,N,C
22118353,The Wine-Accident,d80f93854aaa75f8db649a1137ee739ee796d8e71a539502b06d23cee0035b43,[],12+4+16,2760+2232+1652+467+341+13+604+3456+414+624,en,640,1/1,0,25,3,427,2020-01-04,G,0,CN,C
22135723,don't break my curse (just stay with me),8610b6237c408e7339e75d2148a1975789dce0ff8cbfa81372e6e961afd43f0e,"['Captain America (Movies)', 'Iron Man (Movies)', 'Ancient Greek Religion & Lore']",,3014+40+36,en,4651,1/1,74,556,117,2820,2020-01-05,T,M,N,C
22135762,To See And Be Seen,fd9906741d61e7355a00df343f5399fafdb2409bac730b24470cd6b2e139a579,[],173+37,23+1316+466+299+1368,en,2266,1/1,7,87,9,1026,2020-01-05,G,F,R,C
21889159,Begin Again,f6703478002390da32eb447c1a2c4b84da9608fde67d872f70d42030031d40e3,['Greek – Fandom'],87,457+2+20+273,en,4029,2/?,6,99,15,2017,2020-01-06,M,H,C,W
22150162,The Goddess of Nothing,e757f874e0117ea3e8e9ab18f86fc1965a2153403d70e3c05dd3c278766643de,[],28+918+10+5+79+2+27,2050+950+336+951+6+1118+1016+4250+1294+2274+935+247+76+2936+64+15+553+701+1201+4355+67+305,en,19175,1/1,2,56,9,4688,2020-01-06,E,FH,NV,C
22150876,the Lacaians,00b5b5f313b894028fe006c7fba7ba00d6e2246870992c9cac102a60c6a41acf,['Greek (TV)'],,113+963+249+1001+1578,en,2699,1/1,0,1,0,18,2020-01-06,N,O,VD,C
22156618,Thesmophoria,f9983bfa93bcf0c811d13df5a3a53b170c0d20c3a7714460808645f7dfaea371,[],7+3,189+10+1009,en,3126,1/1,4,27,1,459,2020-01-07,M,H,C,C
21223298,Anthesphoria: Sweet Bloom,0315c10dfdbbcf8b66b59006d68669c6612a619fc55b04e3707a18126c76a11e,[],3+14+5+13+8+21+32+1+27,,en,23602,8/31,6,34,7,712,2020-01-07,M,H,N,W
22171996,Songs for Persephone,66660a63907e8a5b3227e849ba3b5a1227abfeed2ccfed05446ad6c216e88460,['Ancient Greek Religion & Lore'],7+3+14,236+2820,en,261,3/3,0,11,0,137,2020-01-08,T,H,N,C
22166590,"Inspiration, Your Muse",428be2739b3701d374bc60c5a8352fc860009994d4701d77828a4c2af9bfb48f,[],216,52+2352+234+13+65+1497+831,en,682,1/1,0,4,0,28,2020-01-08,G,G,N,C
22181944,love's most fragrant blossom,cd15b336353f471e8cfbb5cefda99005d0779edcda30af5bc339321f08427158,['Ancient Greek Religion & Lore'],2,1568+76+0+5+2+59+247+95+330+304+151,en,1367,1/?,0,11,1,128,2020-01-09,M,FHMU,C,W
