id,title,author_hash,fandoms,fandom_tag_ids,general_tag_ids,language,words,chapters,comments,kudos,bookmarks,hits,date,rating,category,warnings,status
27316009,Avenger Kids™ Halloween Fashion Show,4e9b782fc68f193bfff33e2526fa90de165a74ff466e95fec063149968d472a1,['The Avengers (Marvel Movies)'],5205+9363+8072+3+75+34+29+269+252+358+61+245+79+0+4+15+51+77+69,353+1055+208+0,en,1122,1/1,2,108,9,1334,2020-11-01,G,G,N,C
27258985,Underneath Your Clothes,99cbecd2b0af2be1ff2afa0c31e9e2496dd45626773237cab4fdac428ada36e7,['The Avengers (Marvel Movies)'],5+2+1+11+7+0+685+104+84+1108+54+124+163,132+958+5176+5424+2260+12+20+185,en,25646,8/8,200,559,126,5322,2020-11-01,M,M,N,C
25147234,The Viking Way,e61cae27892be8fb16e444bb927bf6b97742f085d0c34b10911de42022f0da65,"['Marvel Cinematic Universe', 'Captain America (Movies)']",31+257+2+15+7,25+115+465+108+707+862+41+122,en,13845,7/?,15,82,9,2847,2020-11-01,E,H,C,W
27316705,Mission Complete,3ba781ffb31e771007841bb301ea2e47df6e11162e2c59bd1e5b4e3fb69b2619,[],5+2+1+722,2+139+265+3288+98,en,787,1/1,4,22,0,380,2020-11-01,N,M,D,C
27316750,Binge.,e733c1e70172b7df27ac9b66117410d7e47f5d7c36ff67b9bdba5e28f2f99795,['Marvel Cinematic Universe'],112+0+17+36+131+206+681+1150+324+526+1147,336+353+7+379+489+1161+326+1236+5467+34,en,3836,1/1,17,193,18,1732,2020-11-01,N,G,C,C
27316753,Danny's First Job as An Avenger,70b386059e5e0a17b8b563c29aa9c975ec59f2d49b049d9133cdb3634ee371d4,['Marvel Cinematic Universe'],6+0+1+7+4+10+44,52+13,en,1502,1/1,248,3622,158,22719,2020-11-01,G,G,N,C
27180413,The Groupchat of Crackheads AKA The FS Protection Squad,bc5952bb0e0a29141935682fa60ec84dbd83b41b628dfa5865db803bb5b725f9,[],72+401+138+40+26+149+48+13+141+35+145+106,50,en,1542,11/?,30,76,7,1314,2020-10-31,M,H,C,W
27317107,Halloween,e4d48fd5ce44b88159e1284a040e461037d70dc6862bdf6cd3a3a19e2341fbab,['Marvel'],213+0+3+12+10+17+1,101+44+168+354,en,4989,2/2,7,201,10,3875,2020-11-01,E,H,CN,C
27312055,August 26th,544a788f4ebef54812960038bb812e7bb7247009167b1839e59d28db5bf87373,[],55+22,6+83+26+219+194,en,12877,3/3,6,79,8,957,2020-11-01,T,G,N,C
27317866,What I did on my Summer Vacation...,c63c4c4af202a403db3c8d37a1dedaabf022325a018d363b203e218f4fddbedc,['Spider-Man (Tom Holland Movies)'],46+3,4057+65,en,1000,1/1,2,140,11,774,2020-11-01,G,M,N,C
23512906,The Bad Guy Wins,04dd7240bd34a39ebca3301156621db3e647ea1cede11467bffb8affbc5b9780,['Marvel Cinematic Universe'],18+0+201,,en,1612,2/2,0,14,0,325,2020-11-01,N,0,C,C
27319129,Here,bc5952bb0e0a29141935682fa60ec84dbd83b41b628dfa5865db803bb5b725f9,[],5795+26+149,,en,456,1/1,2,17,1,203,2020-11-01,T,0,N,C
27319258,All That Mattered,6144f0e200e823c998fcb29bb348164c39deebd149ef68c2aa527a75b041d365,"['Iron Man (Movies)', 'Spider-Man (Tom Holland Movies)', 'The Avengers (Marvel Movies)']",14+0+3+49+32+52,,en,2123,1/1,16,211,19,2848,2020-11-01,T,G,N,C
27320059,Indispensable,e31314584e30bfa2925b6b12df28b1d4682852a0eb0ae9cae78cbaa6efd17e92,[],4+380+420+532+566,138+1407+1664+1276+100+112+1544+224+7+129+403+344+341+467+3485,en,283,1/1,2,67,5,1120,2020-10-31,T,G,N,C
27310465,El Anillo,b5e2d9568a6f594e20a8b598dd114510379939d7ec6eb2d8d630f86b34476ee3,"['The Avengers (Marvel Movies)', 'The Avengers (Marvel) - All Media Types']",9+1+0+4+7+8+10+95+65+171+25+16+82+1738+1733+1956,154+9714,es,56712,2/2,9,23,2,379,2020-11-01,T,MO,D,C
27319408,7 Days,544a788f4ebef54812960038bb812e7bb7247009167b1839e59d28db5bf87373,[],22+55+67,219+6+564+287,en,36720,11/11,5,43,5,938,2020-11-01,T,G,N,C
27319633,"Next Year, We Talk About Costumes",0857c2e982b4461653b0247d2fbbc001e414cc321ec71faef38509d714b7237e,['The Avengers (Marvel Movies)'],9+10+4+2+7+0+1,2084+0+543+92,en,579,1/1,0,65,5,403,2020-11-01,G,MG,N,C
26958982,Fright Night,f60e31035c2374edd2467a9acf536904bceb51053f8adb56464ffe10705bf697,"['The Avengers (Marvel Movies)', 'Marvel', 'The Avengers (Marvel) - All Media Types', 'Captain America (Movies)', 'Captain America - All Media Types']",31+152+1+2+865+70+73+78,25+223+389+2121+1232+1306+11+353+0+12+2+68+2364+76+1809+4512+5471,en,5825,4/4,4,68,11,1630,2020-11-01,N,H,N,C
27320824,Meet Me For Dinner,4ed2b7c001e16752927928493e3979ffd4ac7bcb445fb697bc8c398ec0bff928,['The Avengers (Marvel Movies)'],6888+7,0+1256+369,en,948,1/1,2,7,1,142,2020-11-01,T,H,N,C
