id,title,author_hash,fandoms,fandom_tag_ids,general_tag_ids,language,words,chapters,comments,kudos,bookmarks,hits,date,rating,category,warnings,status
32947918,there were nights when the wind was so cold,c4733da2da9263048d664385c57ce53220ff3abec14382aec344acf573ec38a8,['Venom (Marvel Movies)'],,0+34+453,en,233,1/1,0,18,0,391,2021-07-31,N,H,N,C
31465829,Foster Me This,2ba3706765ed57756cfdd2b1ef6f5e6e9b1acb5c7e282c7487e3a98d2ffa1bcf,"['Spider-Man (Tom Holland Movies)', 'Marvel Cinematic Universe', 'The Avengers (Marvel Movies)', 'Marvel', 'The Avengers (Marvel) - All Media Types']",14+178+258+18+3+12+0+7+4+1+11+2+32+428+1456+426+167+52+393,1307,en,16291,18/18,252,1747,323,33328,2021-08-01,G,H,N,C
32948584,Wifey,1b49efe447885190ce6eed804edc64e9df41ae2336ae197c7f4b9239799bbffe,"['Thor (Movies)', 'The Avengers (Marvel Movies)']",4554+20+116+7+64+552,1205+30+7+65,en,10556,1/1,8,36,8,444,2021-07-31,T,F,N,C
32948611,Hot in Delacroix,456717ae273916d7987691714c3263922f6938f1e3ca6e7d74b10a6d868e2d3d,[],38+11+2,0+2721+13,en,732,1/1,2,121,6,1058,2021-08-01,T,M,N,C
32949367,the astronomy study club,0625bdb6c161d043875c5d2134238d624ca02f15b4df08c5c1abec0d6abb9717,[],511+15+2,7,en,5028,1/1,3,64,8,737,2021-08-01,G,H,C,C
32949508,It was good to see you again,9072cd29072e7f8e3370886c92b762eb27040a094ae1338b605bfb0fc2bbf53f,['Marvel Cinematic Universe'],323+176+58,2623+530+1047,en,1224,1/1,2,21,0,256,2021-08-01,T,M,C,C
32949712,Just Hold On,3f073f528976e08367cbff2fe82f0a27fcd3589b4479d884404f797f454c056b,['The Avengers (Marvel Movies)'],370+80+15+7+500,108+1016+6+2,en,1718,1/?,7,70,7,1456,2021-08-01,T,G,C,W
32949805,Dogtags,b97aa4dbcde6bf1934ffd1987493252a6df759cb1be7f07600d95957e2a88d2f,[],31+747+2,25+52+0,en,1626,1/1,0,82,5,1281,2021-08-01,G,H,C,C
32949877,The Fame,c9ca0d1f2c147b7d7155da712c6975fe38d298c09389fa7d8484352c50620139,['Marvel Cinematic Universe'],2,1249+0,en,2614,1/1,2,46,7,530,2021-07-31,G,M,N,C
32950600,Rebuilt to Fall Apart,f2e09decd7171e61933a51d1ee9cee243f64cc727a99dead726c415ef996ff65,[],3028+2094+6+117+229,6+68+196+1012+563+358+327,en,2989,1/1,7,71,11,753,2021-08-01,N,H,N,C
29725329,Harry Potter and Avengers Crossover Prompts and Drabbles,640127a446601cc95d770b9ed65c9040bcb02f4db541b64328c3c4b289d7e275,['The Avengers (Marvel Movies)'],378+1595+1199+802+1694+14456+4689+495+1889+827+89+0+2+1+123+4+6+8+39+12+21,12+2+48+330+78+718+324+403+89+340,en,29302,90/?,153,855,147,31130,2021-07-31,T,HGMU,C,W
32951032,"""some old dude from the 40s learns about gay people"" aka steve rogers likes men???",5c47f3724f24d8bb9c1c2ff1504b9559df8096551630c5187b5d5455cbe8a8e8,[],5+42+218+2+1+3+181+348+150+69+297,598+3061+43+0,en,780,1/1,4,231,14,2293,2021-08-01,T,M,N,C
